이미지,생활지수,지수,안내멘트,그래프 값,그래프 최댓값
../img/icon_idx_carwash.png?ver=20231214,세차지수,90,이런 날은 바로 세차하러 가야죠,90,100
../img/icon_idx_running.png?ver=20231214,달리기지수,0,오늘은 꼭 실내에서 운동하세요,0,100
../img/icon_idx_washing.png?ver=20231214,빨래지수,32,빨래! 왠만하면 다음으로!,32,100
../img/icon_idx_sleep.png?ver=20231214,수면지수,10,실내 온도와 습도 꼭 체크하세요!,10,100
../img/icon_idx_umb.png?ver=20231214,우산지수,10,우산 없이 가볍게 외출하세요!,10,100
../img/icon_life_uv.png?ver=20231214,자외선지수,0,오늘은 안심하고 야외 활동하세요,25,100
../img/icon_life_cold.png?ver=20231214,감기지수,4,감기지수가 매우 높아요,100,100
../img/icon_life_freez.png?ver=20231214,동파지수,25,동파지수가 매우 낮아요,25,100
